Symbol,Company,IPO Date,Offer Price,Current Price,Shares,Revenue,Market Cap,Sector,Industry,Price Change %,Price/Sales
ANTA,Antalpha Platform Holding Co,5/14/2025,"12,8","11,84",3850000.00,47454990,#VALUE!,Financial Services,Credit Services,#VALUE!,#VALUE!
CCCXU,Churchill Capital Corp X/Cayman,5/14/2025,"10,00","10,38",36000000.00,0,#VALUE!,Financial Services,Shell Companies,#VALUE!,0
ETOR,eToro Group Ltd.,5/14/2025,"52,00","66,85",11923018.00,12623899,#VALUE!,Financial Services,Capital Markets,#VALUE!,#VALUE!
PMTRU,Perimeter Acquisition Corp. I,5/13/2025,"10,00","10,19",21000000.00,0,#VALUE!,Financial Services,Shell Companies,#VALUE!,0
OMSE,OMS Energy Technologies Inc.,5.13.2025,"9,00","7,74",3703704.00,181449,#VALUE!,Energy,Oil & Gas Equipment & Services,#VALUE!,#VALUE!
APUS,"Apimeds Pharmaceuticals US, Inc.",9/5/2025,"4,00","1,73",3375000.00,0.00,#VALUE!,Healthcare,Drug Manufactures - Specialty & Generic,#VALUE!,0
EGHAU,EGH Acquisition Corp.,9/5/2025,"10,00","10,10",15000000.00,0.00,#VALUE!,Financial Services,Shell Companies,#VALUE!,0
AHL,ASPEN INSURANCE HOLDINGS LTD,8/5/2025,"30,00","34,6",13250000.00,3197300.00,#VALUE!,Financial Services,Insurance - Property & Casualty,#VALUE!,#VALUE!
AII,"American Integrity Insurance Group, Inc.",8/5/2025,"16,00","16,7",6875000.00,204354.00,#VALUE!,Financial Services,Insurance,#VALUE!,#VALUE!
IPODU,Dune Acquisition Corp II,7/5/2025,"10,00","10,02",12500000.00,0.00,#VALUE!,Financial Services,Shell Companies,#VALUE!,0
CEPT,"Cantor Equity Partners II, Inc.",2/5/2025,"10,00","11,17",24000000.00,0.00,#VALUE!,Financial Services,Shell Companies,#VALUE!,0
CGCTU,Cartesian Growth Corp III,2/5/2025,"10,00","10,01",24000000.00,0.00,#VALUE!,Financial Services,Shell Companies,#VALUE!,0
SDM,Smart Digital Group Ltd,2/5/2025,"4,00","4,6",1500000.00,21519072.00,#VALUE!,Communication Services,Advertising agencies,#VALUE!,#VALUE!
WSBK,"Winchester Bancorp, Inc./MD/",2/5/2025,"10,00","9,29",3997012.00,15839.00,#VALUE!,Financial Services,Banks - Regional,#VALUE!,#VALUE!
GTENU,"Gores Holdings X, Inc. / CI",2/5/2025,"10,00","10,17",31200000.00,0.00,#VALUE!,Financial Services,Shell Companies,#VALUE!,0
COPL_UN,Copley Acquisition Corp,1/5/2025,"10,00","10,02",15000000.00,0.00,#VALUE!,Financial Services,Shell Companies,#VALUE!,0
RDAGU,Republic Digital Acquisition Co,1/5/2025,"10,00","10,28",26400000.00,0.00,#VALUE!,Financial Services,Shell Companies,#VALUE!,0
,,,,15.5 closing price,,As of 12/31/2024,As of 15.5,,,,
